,ID.x,Age,ChildrenNumber,CountryCitizen,EmploymentField,EmploymentStatus,ExpectedEarning,Gender,Income,JobPref,JobRoleInterest,LanguageAtHome,MaritalStatus,SchoolDegree,StudentDebtOwe
0,cef35615d61b202f1dc794ef2746df14,28.0,,United States of America,office and administrative support,Employed for wages,,male,32000.0,freelance ,,English,married or domestic partnership,"some college credit, no degree",20000.0
1,323e5a113644d18185c743c241407754,22.0,,United States of America,food and beverage,Employed for wages,50000.0,male,15000.0,work for a startup,  Front-End Web Developer,English,,"some college credit, no degree",
2,b29a1027e5cd062e654a63764157461d,19.0,,United States of America,finance,Employed for wages,,male,48000.0,start your own business,,English,,high school diploma or equivalent (GED),
3,04a11e4bcb573a1261eb0d9948d32637,26.0,,United States of America,"arts, entertainment, sports, or media",Employed for wages,65000.0,female,43000.0,work for a startup,  Front-End Web Developer,English,,bachelor's degree,7000.0
4,9368291c93d5d5f5c8cdb1a575e18bec,20.0,,United States of America,education,Employed for wages,45000.0,female,6000.0,work for a medium-sized company,Full-Stack Web Developer,Khmer,,"some college credit, no degree",
5,dd0e77eab9270e4b67c19b0d6bbf621b,34.0,,United States of America,finance,Self-employed freelancer,,male,40000.0,start your own business,,English,,bachelor's degree,
6,7599c0aa0419b59fd11ffede98a3665d,23.0,,Singapore,software development,Employed for wages,,male,32000.0,,,Mandarin Chinese,,bachelor's degree,
7,6dff182db452487f07a47596f314bddc,35.0,,India,office and administrative support,Employed for wages,,male,40000.0,freelance ,,Telugu,married or domestic partnership,master's degree (non-professional),
8,9dc233f8ed1c6eb2432672ab4bb39249,33.0,,United States of America,software development,Employed for wages,,male,80000.0,,,English,,bachelor's degree,
9,265fa78a1fb2409ff5416aec3c4f950d,33.0,,United States of America,,Employed for wages,,male,80000.0,start your own business,,English,,master's degree (non-professional),180000.0
10,3b461f95fe50be35b927c255b3f7dc3a,57.0,,United States of America,,Self-employed business owner,,male,20000.0,freelance ,,English,married or domestic partnership,bachelor's degree,
11,e786f1288887afb309eb913d28ffd6b0,23.0,,Bangladesh,,Not working and not looking for work,,male,,start your own business,,Bengali,,"some college credit, no degree",
12,10c74fd18bddfb3e26c1878a8583e7f8,47.0,,Canada,health care,Employed for wages,,male,90000.0,freelance ,,English,,bachelor's degree,
13,13b67c51d575bf29827debf06168b445,,,United States of America,software development,Employed for wages,,male,,freelance ,,English,,bachelor's degree,12000.0
14,1f641566628797bf0f811701e818ab2c,37.0,1.0,Bosnia & Herzegovina,sales,Self-employed business owner,,male,,start your own business,,Serbo-Croatian,married or domestic partnership,"some college credit, no degree",
15,1ae10dc0d6fed06e8954af5f313cedf1,31.0,,Russia,software development,Employed for wages,,female,,,,Russian,,"professional degree (MBA, MD, JD, etc.)",
16,7dfbad6a32c7477604dea655327f20a2,27.0,,United States of America,software development,Employed for wages,,female,80000.0,,,English,,bachelor's degree,
17,b953218838a2f7057ec179cae0cf83ad,29.0,,United States of America,education,Employed for wages,,male,17000.0,freelance ,,English,,bachelor's degree,
18,87fcfe4315ee8a3fb554d8bf608cb2ac,30.0,,Canada,software development,Self-employed freelancer,,male,16000.0,,,English,,bachelor's degree,
19,9b4935e514bdc9b66a35a085c229775c,30.0,,Croatia,,Not working but looking for work,75000.0,male,,work for a medium-sized company,Full-Stack Web Developer,Serbo-Croatian,"single, never married","some college credit, no degree",
20,8cf2a0f6b368a4a42572f775df0f5f90,32.0,1.0,United States of America,,Employed for wages,75000.0,female,200000.0,work for a medium-sized company,Full-Stack Web Developer,English,married or domestic partnership,master's degree (non-professional),
21,b3d1716309461078c892edcd68db7d4c,25.0,,India,,Doing an unpaid internship,,female,,,,Hindi,,bachelor's degree,
22,be38b0df499caf723af579aa6b173b0a,29.0,,Singapore,"arts, entertainment, sports, or media",Employed for wages,,female,100000.0,,,English,"single, never married",bachelor's degree,
23,97d2a0572f74acd8c4683ce7b72039db,44.0,,United States of America,office and administrative support,Employed for wages,,female,41000.0,freelance ,,English,married or domestic partnership,bachelor's degree,50000.0
24,4bfe54e669aa8eaf4c9db1b809f3b511,21.0,,India,,Not working but looking for work,,male,,start your own business,,Hindi,,bachelor's degree,
25,36f9d95975bfd2c89cfe75baca2d58d2,21.0,,United States of America,,Not working but looking for work,75000.0,male,,work for a medium-sized company,Full-Stack Web Developer,English,,"some college credit, no degree",40000.0
26,e886db962a67fdf6cddbd4e85ea5d6e6,28.0,,South Africa,,Self-employed freelancer,,male,12000.0,start your own business,,English,"single, never married",high school diploma or equivalent (GED),
27,212332278cfd07d49c4df986e6fbda1e,28.0,2.0,United States of America,software development,Employed for wages,,male,60000.0,,,English,married or domestic partnership,"trade, technical, or vocational training",
28,fb120d2658407cbedfd9f1136c94ac61,25.0,,United States of America,software development,Employed for wages,90000.0,male,75000.0,work for a startup,Full-Stack Web Developer,English,,bachelor's degree,
29,df891ef669fb23701f6622f14843bda2,35.0,1.0,United Kingdom,software development,Employed for wages,,male,35000.0,,,English,married or domestic partnership,master's degree (non-professional),
30,4ca7bc0dd8354763eb7a46e70d63929f,24.0,,United States of America,,Doing an unpaid internship,,female,,freelance ,,English,,"some college credit, no degree",
31,e80bf5150e2756c880019188d603afd9,23.0,,Venezuela,,A stay-at-home parent or homemaker,20000.0,male,,work for a medium-sized company,Full-Stack Web Developer,Spanish,,"some college credit, no degree",
32,e425871622d7541328a1e89098b0aba2,34.0,,Spain,,Doing an unpaid internship,40000.0,male,,work for a medium-sized company,Full-Stack Web Developer,Spanish,,bachelor's degree,
33,9a63dd965cb220f67e07def9911c0c50,18.0,,United States of America,,Employed for wages,35000.0,female,6000.0,work for a medium-sized company,  Front-End Web Developer,English,,high school diploma or equivalent (GED),
34,f1062e9ef6876d948546b74e6418b21a,33.0,,United States of America,health care,Employed for wages,,female,40000.0,freelance ,,English,,bachelor's degree,44000.0
35,d584425268aa1d6a622e2553b5a6530d,28.0,,Brazil,office and administrative support,Employed for wages,,male,6500.0,start your own business,,Portuguese,,high school diploma or equivalent (GED),
36,b67cc9e85e9d9804bf5c4454865b5a73,33.0,,New Zealand,,Self-employed freelancer,40000.0,male,60000.0,work for a medium-sized company,Full-Stack Web Developer,English,married or domestic partnership,high school diploma or equivalent (GED),
37,92800ffad18a940605890937ce3434a4,26.0,,United States of America,finance,Employed for wages,,male,29000.0,freelance ,,English,,"some college credit, no degree",
38,817c45e73fb23e512083696d65e76d98,24.0,,South Africa,software development,Employed for wages,,male,10000.0,,,English,,bachelor's degree,
39,bc7a311225558732449b948a4fc891b4,39.0,,United States of America,law enforcement and fire and rescue,Employed for wages,75000.0,male,53000.0,work for a medium-sized company,Full-Stack Web Developer,English,,associate's degree,70000.0
40,5c1dc917ad04443cdf1b8c9ca43c8de8,24.0,,Brazil,,Not working but looking for work,40000.0,male,,work for a startup,Full-Stack Web Developer,Portuguese,,high school diploma or equivalent (GED),
41,93f53693cf91031e05815ee6e0e594fa,34.0,,United States of America,,Not working and not looking for work,,male,,freelance ,,English,,high school diploma or equivalent (GED),
42,f960ecda43960ecbdeb77d89c71982cc,19.0,,Jamaica,,,80000.0,male,,work for a medium-sized company,  Data Scientist / Data Engineer,English,,"some college credit, no degree",
43,c4796091222e4130cc18e5614d1d25a0,28.0,,United States of America,education,Employed for wages,90000.0,male,52000.0,work for a startup,Full-Stack Web Developer,English,,bachelor's degree,
44,b18b8e5306e95b81c97e9bdd0c7298f0,24.0,,Canada,,Not working but looking for work,,male,,freelance ,,Russian,,high school diploma or equivalent (GED),
45,9e7e9e27fcd5556d8c13596e76bdc18b,41.0,2.0,United Kingdom,office and administrative support,Employed for wages,,male,17000.0,freelance ,,English,married or domestic partnership,master's degree (non-professional),
46,8b469700c0dff66a0c931b6b364de27b,47.0,1.0,Italy,sales,Self-employed freelancer,,male,20000.0,freelance ,,Italian,married or domestic partnership,high school diploma or equivalent (GED),
47,db7b8b480c02d2a3bf5c21dd97d8f821,22.0,,Venezuela,,Not working but looking for work,60000.0,male,,work for a medium-sized company,  Mobile Developer,Spanish,,high school diploma or equivalent (GED),
48,4c2308c85b47e3123e92ac8882026603,20.0,,India,,Doing an unpaid internship,50000.0,female,,work for a multinational corporation,Full-Stack Web Developer,Hindi,,high school diploma or equivalent (GED),
49,15ccf0460316d75677b6b57d56fa55eb,20.0,,United States of America,software development,Employed for wages,60000.0,male,24000.0,work for a startup,Full-Stack Web Developer,Spanish,,high school diploma or equivalent (GED),
50,fe293ca32e227dc297c14da9067146e6,19.0,,Bangladesh,,Not working but looking for work,,male,,freelance ,,Bengali,,some high school,
51,7c4eda5a0ef3aff3bf48f413874512e6,25.0,,Portugal,software development,Employed for wages,,male,12000.0,,,Portuguese,,"some college credit, no degree",
52,ffb43abb60751abe1cf25b7e8e82bd2e,20.0,,India,,,40000.0,male,,work for a medium-sized company,Full-Stack Web Developer,Hindi,,high school diploma or equivalent (GED),20000.0
53,0285064c6b4cc8605830e28ada7a8646,43.0,,United States of America,,Not working and not looking for work,,male,,freelance ,,English,,"some college credit, no degree",
54,82c7c3d3763ccd8d005acd81386bab59,33.0,3.0,United States of America,,Not working but looking for work,45000.0,female,,work for a medium-sized company,Full-Stack Web Developer,English,married or domestic partnership,high school diploma or equivalent (GED),
55,cd58da1fda434a452b6b8d6ff2d987eb,35.0,,United States of America,,Not working but looking for work,50000.0,female,,work for a medium-sized company,  Front-End Web Developer,English,"single, never married","some college credit, no degree",5000.0
